EmployeeNumber,FieldVsDept,MonthlyHours,DaysWorked,CompanyRatiotoCareer,RoleRatioToCompany,RoleRatioToCareer,AgeBin,HourlyRateBin,MonthlyRateBin,MonthlyIncomeBin,DailyRateBin,DaysWorkedBin,MonthlyHoursBin,CompanyRatiotoCareerBin,RoleRatioToCompanyBin,RoleRatioToCareerBin
1,Life Sciences - Sales,63.755319148936174,5.438294010889292,0.75,0.6666666666666666,0.5,40,90,19000,5500,1100,5.0,60.0,0.7000000000000001,0.65,0.45
2,Life Sciences - Research & Development,84.09836065573771,18.387096774193548,1.0,0.7,0.7,40,60,24500,5000,200,15.0,80.0,0.9500000000000001,0.65,0.65
4,Other - Research & Development,22.717391304347824,1.5222141296431173,0.0,1.0,0.0,30,90,2000,2000,1300,0.0,20.0,0.0,1.0,0.0
5,Life Sciences - Research & Development,51.94642857142857,2.0897988505747125,1.0,0.875,0.875,30,50,23000,2500,1300,0.0,40.0,0.9500000000000001,0.8500000000000001,0.8500000000000001
7,Medical - Research & Development,86.7,5.868020304568528,0.3333333333333333,1.0,0.3333333333333333,20,40,16500,3000,500,5.0,80.0,0.30000000000000004,0.9500000000000001,0.30000000000000004
8,Life Sciences - Research & Development,38.835443037974684,3.0527363184079603,0.875,1.0,0.875,30,70,11500,3000,1000,0.0,20.0,0.8500000000000001,0.9500000000000001,0.8500000000000001
10,Medical - Research & Development,32.96296296296296,2.016616314199396,0.08333333333333333,0.0,0.0,50,80,9500,2500,1300,0.0,20.0,0.05,0.0,0.0
11,Life Sciences - Research & Development,40.19402985074627,1.9830633284241532,1.0,0.0,0.0,30,60,13000,2500,1300,0.0,40.0,0.9500000000000001,0.0,0.0
12,Life Sciences - Research & Development,216.5,44.101851851851855,0.9,0.7777777777777778,0.7,30,40,8500,9500,200,40.0,200.0,0.8500000000000001,0.75,0.65
13,Medical - Research & Development,55.712765957446805,4.031562740569669,0.4117647058823529,1.0,0.4117647058823529,30,90,16500,5000,1200,0.0,40.0,0.4,0.9500000000000001,0.4
14,Medical - Research & Development,28.88095238095238,2.9987639060568605,0.8333333333333334,0.8,0.6666666666666666,30,80,16000,2000,800,0.0,20.0,0.8,0.8,0.65
15,Life Sciences - Research & Development,85.57142857142857,27.405228758169933,0.9,0.5555555555555556,0.5,20,40,12500,4000,100,25.0,80.0,0.8500000000000001,0.55,0.45
16,Life Sciences - Research & Development,93.90322580645162,4.344776119402985,1.0,0.4,0.4,30,30,15000,2500,600,0.0,80.0,0.9500000000000001,0.4,0.4
18,Medical - Research & Development,28.612903225806452,1.9769687964338782,0.6666666666666666,1.0,0.6666666666666666,30,90,8500,2500,1300,0.0,20.0,0.65,0.9500000000000001,0.65
19,Life Sciences - Research & Development,40.56,19.689320388349515,0.6666666666666666,0.5,0.3333333333333333,20,50,12500,2000,100,15.0,40.0,0.65,0.45,0.30000000000000004
20,Life Sciences - Research & Development,195.68627450980392,7.185025197984161,1.0,0.9,0.9,20,50,10000,9500,1300,5.0,180.0,0.9500000000000001,0.8500000000000001,0.8500000000000001
21,Life Sciences - Research & Development,41.225,9.874251497005988,0.8571428571428571,0.3333333333333333,0.2857142857142857,30,80,15000,3000,300,5.0,40.0,0.8500000000000001,0.30000000000000004,0.25
22,Medical - Research & Development,30.572916666666668,2.6135351736420303,1.0,0.0,0.0,20,90,7000,2500,1100,0.0,20.0,0.9500000000000001,0.0,0.0
23,Life Sciences - Sales,197.78205128205127,12.655455291222314,0.8064516129032258,0.32,0.25806451612903225,50,70,22000,15000,1200,10.0,180.0,0.8,0.30000000000000004,0.25
24,Life Sciences - Research & Development,87.64444444444445,10.630727762803234,0.5,0.6666666666666666,0.3333333333333333,30,40,4000,3500,300,10.0,80.0,0.45,0.65,0.30000000000000004
26,Other - Research & Development,41.78125,5.959881129271917,0.8,0.5,0.4,20,90,8000,4000,600,5.0,40.0,0.8,0.45,0.4
27,Life Sciences - Sales,41.548780487804876,2.797208538587849,0.5,0.6,0.3,30,80,6500,3000,1200,0.0,40.0,0.45,0.55,0.25
28,Life Sciences - Research & Development,226.30188679245282,28.62529832935561,0.9230769230769231,0.5,0.46153846153846156,30,50,21000,11500,400,25.0,220.0,0.9,0.45,0.45
30,Life Sciences - Research & Development,12.833333333333334,3.1508951406649617,1.0,1.0,1.0,20,90,19000,1000,300,0.0,0.0,1.0,1.0,1.0
31,Medical - Research & Development,35.66265060240964,4.234620886981402,0.5,0.5,0.25,30,80,17000,2500,600,0.0,20.0,0.45,0.45,0.2
32,Other - Research & Development,329.2068965517241,14.893915756630266,0.5384615384615384,0.9285714285714286,0.5,50,50,10500,19000,1200,10.0,320.0,0.5,0.9,0.45
33,Life Sciences - Research & Development,54.43055555555556,3.4835555555555557,1.0,0.2,0.2,30,70,4500,3500,1100,0.0,40.0,0.9500000000000001,0.2,0.2
35,Marketing - Sales,142.1875,9.876989869753979,0.9,0.7777777777777778,0.7,40,40,21000,6500,600,5.0,140.0,0.8500000000000001,0.75,0.65
36,Medical - Research & Development,244.0,21.48427672955975,0.9166666666666666,0.2727272727272727,0.25,40,40,2000,10000,400,20.0,240.0,0.9,0.25,0.2
38,Marketing - Sales,228.27710843373495,26.875177304964538,0.09090909090909091,1.0,0.09090909090909091,40,80,22500,18500,700,25.0,220.0,0.05,0.9500000000000001,0.05
39,Medical - Research & Development,32.0,2.7012987012987013,0.14285714285714285,1.0,0.14285714285714285,30,70,6500,2000,900,0.0,20.0,0.1,0.9500000000000001,0.1
40,Other - Research & Development,157.6829268292683,4.431117203564085,0.4444444444444444,0.5,0.2222222222222222,40,40,19000,6000,1400,0.0,140.0,0.4,0.45,0.2
41,Medical - Research & Development,26.57831325301205,17.648,1.0,0.0,0.0,30,80,16000,2000,100,15.0,20.0,0.9500000000000001,0.0,0.0
42,Technical Degree - Sales,37.25,2.3307262569832403,0.05263157894736842,0.0,0.0,30,50,3000,2000,800,0.0,20.0,0.05,0.0,0.0
45,Medical - Research & Development,37.59016393442623,2.820418204182042,0.3333333333333333,0.0,0.0,20,60,3000,2000,800,0.0,20.0,0.30000000000000004,0.0,0.0
46,Medical - Research & Development,36.736111111111114,2.0777690494893952,0.8333333333333334,0.6,0.5,40,70,21500,2500,1200,0.0,20.0,0.8,0.55,0.45
47,Marketing - Sales,31.197674418604652,3.0874568469505177,1.0,0.6666666666666666,0.6666666666666666,50,80,3500,2500,800,0.0,20.0,0.9500000000000001,0.65,0.65
49,Marketing - Sales,20.762886597938145,2.262921348314607,1.0,1.0,1.0,30,90,9500,2000,800,0.0,20.0,0.9500000000000001,0.9500000000000001,0.9500000000000001
51,Life Sciences - Research & Development,41.69512195121951,4.012910798122066,0.16666666666666666,1.0,0.16666666666666666,30,80,13000,3000,800,0.0,40.0,0.15000000000000002,0.9500000000000001,0.15000000000000002
52,Life Sciences - Sales,128.0,4.711656441717792,0.5,0.6,0.3,30,40,3000,5000,1100,0.0,120.0,0.45,0.55,0.25
